一梦自用源,#genre#
一梦采集,#genre#
CCTV-1综合,https://tvpull.careryun.com/tv/cctv1.m3u8
CCTV-2财经,https://tvpull.careryun.com/tv/cctv2.m3u8
CCTV-3综艺,https://tvpull.careryun.com/tv/cctv3.m3u8
CCTV-4中文国际,https://tvpull.careryun.com/tv/cctv4.m3u8
CCTV5+体育赛事,https://tvpull.careryun.com/tv/cctv5.m3u8
CCTV-6,https://tvpull.careryun.com/tv/cctv6.m3u8
CCTV-7国防军事,https://tvpull.careryun.com/tv/cctv7.m3u8
CCTV-8电视剧,https://tvpull.careryun.com/tv/cctv8.m3u8
CCTV-9记录,https://tvpull.careryun.com/tv/cctv9.m3u8
CCTV-10科教,https://tvpull.careryun.com/tv/cctv10.m3u8
CCTV-11戏曲,https://tvpull.careryun.com/tv/cctv11.m3u8
CCTV-12社会与法,https://tvpull.careryun.com/tv/cctv12.m3u8
CCTV-13新闻,https://tvpull.careryun.com/tv/cctv13.m3u8
CCTV-14少儿,https://tvpull.careryun.com/tv/cctv14.m3u8
CCTV1-15音乐,https://tvpull.careryun.com/tv/cctv15.m3u8
CCTV-16奥林匹克,https://tvpull.careryun.com/tv/cctv16.m3u8
CCTV-17农业农村,https://tvpull.careryun.com/tv/cctv17.m3u8

北京卫视,http://tvpull.careryun.com/tv/cn_bjws.m3u8
江苏卫视,http://tvpull.careryun.com/tv/jsws.m3u8
河南卫视,http://tvpull.careryun.com/tv/cn_hnws.m3u8
浙江卫视,http://tvpull.careryun.com/tv/cn_zjws.m3u8
东方卫视,http://tvpull.careryun.com/tv/dfws.m3u8
湖南卫视,http://tvpull.careryun.com/tv/cn_hunws.m3u8
广东卫视,http://tvpull.careryun.com/tv/gdws.m3u8
黑龙江卫视,http://tvpull.careryun.com/tv/hljws.m3u8
深圳卫视,http://tvpull.careryun.com/tv/cn_szws.m3u8
天津卫视,http://tvpull.careryun.com/tv/cn_tjws.m3u8
山东卫视,http://tvpull.careryun.com/tv/cn_sdws.m3u8
湖北卫视,http://tvpull.careryun.com/tv/hbws.m3u8
贵州卫视,http://tvpull.careryun.com/tv/cn_gzws.m3u8
江西卫视,http://tvpull.careryun.com/tv/jxws.m3u8
辽宁卫视,http://tvpull.careryun.com/tv/lnws.m3u8
重庆卫视,http://tvpull.careryun.com/tv/cn_cqws.m3u8
辽宁卫视,http://tvpull.careryun.com/tv/cn_lnws.m3u8
东南卫视,http://tvpull.careryun.com/tv/dn.m3u8
四川卫视,http://tvpull.careryun.com/tv/cn_ahws.m3u8
广西卫视,http://tvpull.careryun.com/tv/cn_gxws.m3u8
厦门卫视,http://tvpull.careryun.com/tv/xmws.m3u8
河北卫视,http://tvpull.careryun.com/tv/cn_hbws.m3u8
山西卫视,http://tvpull.careryun.com/tv/sxws.m3u8
陕西卫视,http://tvpull.careryun.com/tv/sxws.m3u8
青海卫视,http://tvpull.careryun.com/tv/qhws.m3u8
安徽卫视,http://tvpull.careryun.com/tv/ahws.m3u8
甘肃卫视,http://tvpull.careryun.com/tv/cn_gsws.m3u8
宁夏卫视,http://tvpull.careryun.com/tv/nxws.m3u8
内蒙古卫视,http://tvpull.careryun.com/tv/nmgws.m3u8
大湾区卫视,http://tvpull.careryun.com/tv/dwqws.m3u8
云南卫视,http://tvpull.careryun.com/tv/ynws.m3u8
新疆卫视,http://tvpull.careryun.com/tv/xjws.m3u8
吉林卫视,http://tvpull.careryun.com/tv/jlws.m3u8
海南卫视,http://tvpull.careryun.com/tv/hainws.m3u8
西藏卫视,http://tvpull.careryun.com/tv/xzws.m3u8
一梦采集央视源,#genre#
CCTV-1综合,http://223.167.75.36:10030/gaoma/cctv1.m3u8
CCTV-2财经,http://223.167.75.36:10030/gaoma/cctv2.m3u8
CCTV-3综艺,http://223.167.75.36:10030/gaoma/cctv3.m3u8
CCTV-4中文国际,http://223.167.75.36:10030/gaoma/cctv4.m3u8 
CCTV5体育,http://223.167.75.36:10030/gaoma/cctv5.m3u8 
CCTV5+体育赛事,http://113.81.21.76:8818/gaoma/cctv5p.m3u8
CCTV-6（无）,
CCTV-7国防军事,http://223.167.75.36:10030/gaoma/cctv7.m3u8 
CCTV-8电视剧,http://223.167.75.36:10030/gaoma/cctv8.m3u8 
CCTV-9记录,http://223.167.75.36:10030/gaoma/cctv9.m3u8 
CCTV-10科教,http://223.167.75.36:10030/gaoma/cctv10.m3u8 
CCTV-11戏曲,http://223.167.75.36:10030/gaoma/cctv11.m3u8 
CCTV-12社会与法,http://223.167.75.36:10030/gaoma/cctv12.m3u8 
CCTV-13新闻,http://223.167.75.36:10030/gaoma/cctv13.m3u8 
CCTV-14少儿,http://223.167.75.36:10030/gaoma/cctv14.m3u8 
CCTV1-15音乐,http://223.167.75.36:10030/gaoma/cctv15.m3u8 
CCTV-16奥林匹克,http://223.167.75.36:10030/gaoma/cctv16.m3u8 
CCTV-17农业农村,http://223.167.75.36:10030/gaoma/cctv17.m3u8 
央视源,#genre#
CCTV-2财经,https://livealiop-finance.cctv.cn/hls/CCTV28bee868714f04ea2af79947bb9b46fc3H/playlist.m3u8?wsSecret=ec092a52c9aad9a13ab467c16759f07f&wsTime=1737988397
CCTV-2财经,https://livealiop-finance.cctv.cn/hls/CCTV28bee868714f04ea2af79947bb9b46fc3H/playlist.m3u8
