央视卫视,#genre#
CCTV-1,http://8.146.211.219:2001/live_tv?pid=600001859
CCTV-2,http://8.146.211.219:2001/live_tv?pid=600001800
CCTV-3,http://8.146.211.219:2001/live_tv?pid=600001801
CCTV-4,http://8.146.211.219:2001/live_tv?pid=600001814
CCTV-5,http://8.146.211.219:2001/live_tv?pid=600001818
CCTV-5+,http://8.146.211.219:2001/live_tv?pid=600001817
CCTV-6,http://8.146.211.219:2001/live_tv?pid=600108442
CCTV-7,http://8.146.211.219:2001/live_tv?pid=600004092
CCTV-8,http://8.146.211.219:2001/live_tv?pid=600001803
CCTV-9,http://8.146.211.219:2001/live_tv?pid=600004078
CCTV-10,http://8.146.211.219:2001/live_tv?pid=600001805
CCTV-11,http://8.146.211.219:2001/live_tv?pid=600001806
CCTV-12,http://8.146.211.219:2001/live_tv?pid=600001807
CCTV-13,http://8.146.211.219:2001/live_tv?pid=600001811
CCTV-14,http://8.146.211.219:2001/live_tv?pid=600001809
CCTV-15,http://8.146.211.219:2001/live_tv?pid=600001815
CCTV-17,http://8.146.211.219:2001/live_tv?pid=600001810
CGTN,http://8.146.211.219:2001/live_tv?pid=600014550
CGTN-法语频道,http://8.146.211.219:2001/live_tv?pid=600084704
CGTN-俄语频道,http://8.146.211.219:2001/live_tv?pid=600084758
CGTN-阿拉伯语频道,http://8.146.211.219:2001/live_tv?pid=600084782
CGTN-西班牙语频道,http://8.146.211.219:2001/live_tv?pid=600084744
北京卫视,http://8.146.211.219:2001/live_tv?pid=600002309
上海东方卫视,http://8.146.211.219:2001/live_tv?pid=600002483
江苏卫视,http://8.146.211.219:2001/live_tv?pid=600002521
浙江卫视,http://8.146.211.219:2001/live_tv?pid=600002520
湖南卫视,http://8.146.211.219:2001/live_tv?pid=600002475
湖北卫视,http://8.146.211.219:2001/live_tv?pid=600002508
广东卫视,http://8.146.211.219:2001/live_tv?pid=600002485
广西卫视,http://8.146.211.219:2001/live_tv?pid=600002509
黑龙江卫视,http://8.146.211.219:2001/live_tv?pid=600002498
海南卫视,http://8.146.211.219:2001/live_tv?pid=600002506
重庆卫视,http://8.146.211.219:2001/live_tv?pid=600002531
深圳卫视,http://8.146.211.219:2001/live_tv?pid=600002481
四川卫视,http://8.146.211.219:2001/live_tv?pid=600002516
河南卫视,http://8.146.211.219:2001/live_tv?pid=600002525
贵州卫视,http://8.146.211.219:2001/live_tv?pid=600002490
江西卫视,http://8.146.211.219:2001/live_tv?pid=600002503
辽宁卫视,http://8.146.211.219:2001/live_tv?pid=600002505
安徽卫视,http://8.146.211.219:2001/live_tv?pid=600002532
河北卫视,http://8.146.211.219:2001/live_tv?pid=600002493
天津卫视,http://8.146.211.219:2001/live_tv?pid=600152137
吉林卫视,http://8.146.211.219:2001/live_tv?pid=600190405
陕西卫视,http://8.146.211.219:2001/live_tv?pid=600190400
甘肃卫视,http://8.146.211.219:2001/live_tv?pid=600190408
宁夏卫视,http://8.146.211.219:2001/live_tv?pid=600190737
内蒙古卫视,http://8.146.211.219:2001/live_tv?pid=600190401
云南卫视,http://8.146.211.219:2001/live_tv?pid=600190402
山西卫视,http://8.146.211.219:2001/live_tv?pid=600190407
青海卫视,http://8.146.211.219:2001/live_tv?pid=600190406
西藏卫视,http://8.146.211.219:2001/live_tv?pid=600190403
新疆卫视,http://8.146.211.219:2001/live_tv?pid=600152138
兵团卫视,http://8.146.211.219:2001/live_tv?pid=600193252
香港卫视,http://8.146.211.219:2001/live_tv?pid=xgws
江苏非诚勿扰,http://8.146.211.219:2001/live_tv?pid=jsfcwr
cctv-13,http://8.146.211.219:2001/live_tv?pid=cctv13

CCTV频道,#genre#
cctv1,http://8.146.211.219:2001/live_tv?pid=600001859
cctv2,http://8.146.211.219:2041/live_tv?pid=cctv2
cctv4,http://8.146.211.219:2041/live_tv?pid=cctv4
cctv5,http://8.146.211.219:2041/live_tv?pid=cctv5
cctv5hd,http://8.146.211.219:2041/live_tv?pid=cctv5hd
cctv5p,http://8.146.211.219:2041/live_tv?pid=cctv5p
cctv5phd,http://8.146.211.219:2041/live_tv?pid=cctv5phd
cctv7,http://8.146.211.219:2041/live_tv?pid=cctv7
