央视V6,#genre#
CCTV-1 综合,http://tvbox.netsite.cc/proxy/753065176/753065176.m3u8
CCTV-1 综合,https://node1.olelive.com:6443/live/CCTV1HD/hls.m3u8
CCTV-2 财经,https://node1.olelive.com:6443/live/CCTV2HD/hls.m3u8
CCTV-3 综艺,http://116.162.6.192/sxbuv52.live.bestvcdn.com.cn/live/cctv38m/8000000/mnf.m3u8
CCTV-4 中文国际,http://tvbox.netsite.cc/proxy/2065759974/2065759974.m3u8
CCTV-5 体育,https://node1.olelive.com:6443/live/CCTV5HD/hls.m3u8
CCTV-6 电影,http://tvbox.netsite.cc/proxy/1275265590/1275265590.m3u8
CCTV-7 国防军事,https://cd-live-stream.news.cctvplus.com/live/smil:CHANNEL1.smil/chunklist_w309164027_b1000000.m3u8
CCTV-8 电视剧,https://node1.olelive.com:6443/live/CCTV8HD/hls.m3u8
CCTV-8 电视剧,http://tvbox.netsite.cc/proxy/823956387/823956387.m3u8
CCTV-9 纪录,http://tvbox.netsite.cc/proxy/41408178/41408178.m3u8
CCTV-10 科教,http://tvbox.netsite.cc/proxy/358752297/358752297.m3u8
XXXCCTV-11 戏曲,
CCTV-12 社会与法,http://tvbox.netsite.cc/proxy/1168098921/1168098921.m3u8
CCTV-13 新闻,https://node1.olelive.com:6443/live/CCTV13HD/hls.m3u8
CCTV-14 少儿,http://tvbox.netsite.cc/proxy/1977445545/1977445545.m3u8
XXXCCTV-15 音乐,
CCTV-16 奥林匹克,http://tvbox.netsite.cc/proxy/434481154/434481154.m3u8
卫视V6,#genre#
凤凰中文,http://tvbox.netsite.cc/proxy/753065176/753065176.m3u8
北京卫视,http://tvbox.netsite.cc/proxy/469197887/469197887.m3u8
湖南卫视,http://tvbox.netsite.cc/proxy/823956387/823956387.m3u8
东方卫视,http://tvbox.netsite.cc/proxy/609485212/609485212.m3u8
四川卫视,http://tvbox.netsite.cc/proxy/1364123916/1364123916.m3u8
安徽卫视,http://tvbox.netsite.cc/proxy/1453839032/1453839032.m3u8
山东卫视,http://116.162.6.192/sxbuv52.live.bestvcdn.com.cn/live/sdws8m/8000000/mnf.m3u8
广东卫视,http://tvbox.netsite.cc/proxy/730496254/730496254.m3u8
广西卫视,http://tvbox.netsite.cc/proxy/1407270894/1407270894.m3u8
江苏卫视,http://tvbox.netsite.cc/proxy/1561313428/1561313428.m3u8
江西卫视,http://tvbox.netsite.cc/proxy/1561313428/1561313428.m3u8
河北卫视,http://tvbox.netsite.cc/proxy/866823714/866823714.m3u8
河南卫视,http://tvbox.netsite.cc/proxy/1555831884/1555831884.m3u8
浙江卫视,https://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
海南卫视,http://tvbox.netsite.cc/proxy/1505336139/1505336139.m3u8
深圳卫视,http://tvbox.netsite.cc/proxy/846832031/846832031.m3u8
湖北卫视,http://tvbox.netsite.cc/proxy/1513765070/1513765070.m3u8
山西卫视,http://tvbox.netsite.cc/proxy/825435414/825435414.m3u8
